Creato come nuovo set dati;Sample 013 By Administrator Date martedì, novembre 22 2022
cm-1;%T
4000.00;87.54
3999.00;87.52
3998.00;87.51
3997.00;87.50
3996.00;87.50
3995.00;87.52
3994.00;87.55
3993.00;87.58
3992.00;87.60
3991.00;87.60
3990.00;87.58
3989.00;87.55
3988.00;87.53
3987.00;87.51
3986.00;87.51
3985.00;87.52
3984.00;87.53
3983.00;87.55
3982.00;87.57
3981.00;87.59
3980.00;87.61
3979.00;87.63
3978.00;87.64
3977.00;87.64
3976.00;87.64
3975.00;87.63
3974.00;87.62
3973.00;87.63
3972.00;87.63
3971.00;87.62
3970.00;87.61
3969.00;87.60
3968.00;87.60
3967.00;87.60
3966.00;87.62
3965.00;87.64
3964.00;87.64
3963.00;87.64
3962.00;87.63
3961.00;87.63
3960.00;87.64
3959.00;87.65
3958.00;87.65
3957.00;87.63
3956.00;87.59
3955.00;87.56
3954.00;87.55
3953.00;87.57
3952.00;87.59
3951.00;87.60
3950.00;87.59
3949.00;87.58
3948.00;87.58
3947.00;87.59
3946.00;87.61
3945.00;87.63
3944.00;87.62
3943.00;87.62
3942.00;87.63
3941.00;87.63
3940.00;87.63
3939.00;87.61
3938.00;87.59
3937.00;87.58
3936.00;87.58
3935.00;87.60
3934.00;87.62
3933.00;87.63
3932.00;87.63
3931.00;87.61
3930.00;87.59
3929.00;87.57
3928.00;87.56
3927.00;87.56
3926.00;87.58
3925.00;87.61
3924.00;87.66
3923.00;87.70
3922.00;87.72
3921.00;87.71
3920.00;87.70
3919.00;87.67
3918.00;87.64
3917.00;87.63
3916.00;87.64
3915.00;87.66
3914.00;87.67
3913.00;87.65
3912.00;87.61
3911.00;87.58
3910.00;87.58
3909.00;87.61
3908.00;87.68
3907.00;87.75
3906.00;87.81
3905.00;87.85
3904.00;87.87
3903.00;87.88
3902.00;87.89
3901.00;87.87
3900.00;87.84
3899.00;87.81
3898.00;87.80
3897.00;87.80
3896.00;87.79
3895.00;87.78
3894.00;87.76
3893.00;87.74
3892.00;87.74
3891.00;87.76
3890.00;87.80
3889.00;87.84
3888.00;87.84
3887.00;87.80
3886.00;87.78
3885.00;87.79
3884.00;87.83
3883.00;87.85
3882.00;87.82
3881.00;87.78
3880.00;87.75
3879.00;87.77
3878.00;87.78
3877.00;87.77
3876.00;87.73
3875.00;87.71
3874.00;87.75
3873.00;87.82
3872.00;87.87
3871.00;87.86
3870.00;87.85
3869.00;87.88
3868.00;87.95
3867.00;87.98
3866.00;87.98
3865.00;87.94
3864.00;87.91
3863.00;87.89
3862.00;87.88
3861.00;87.88
3860.00;87.89
3859.00;87.92
3858.00;87.96
3857.00;88.00
3856.00;88.03
3855.00;88.01
3854.00;87.96
3853.00;87.94
3852.00;87.96
3851.00;87.95
3850.00;87.88
3849.00;87.83
3848.00;87.83
3847.00;87.85
3846.00;87.86
3845.00;87.86
3844.00;87.86
3843.00;87.88
3842.00;87.92
3841.00;87.96
3840.00;87.98
3839.00;87.97
3838.00;87.96
3837.00;87.97
3836.00;87.99
3835.00;88.01
3834.00;87.99
3833.00;87.96
3832.00;87.93
3831.00;87.91
3830.00;87.91
3829.00;87.90
3828.00;87.89
3827.00;87.89
3826.00;87.91
3825.00;87.95
3824.00;87.99
3823.00;87.99
3822.00;87.98
3821.00;88.00
3820.00;88.06
3819.00;88.09
3818.00;88.06
3817.00;87.97
3816.00;87.90
3815.00;87.87
3814.00;87.87
3813.00;87.85
3812.00;87.84
3811.00;87.86
3810.00;87.92
3809.00;87.96
3808.00;87.96
3807.00;87.94
3806.00;87.95
3805.00;87.98
3804.00;87.99
3803.00;87.98
3802.00;87.97
3801.00;88.00
3800.00;88.06
3799.00;88.07
3798.00;88.03
3797.00;87.97
3796.00;87.93
3795.00;87.92
3794.00;87.92
3793.00;87.90
3792.00;87.89
3791.00;87.90
3790.00;87.91
3789.00;87.93
3788.00;87.94
3787.00;87.94
3786.00;87.94
3785.00;87.95
3784.00;87.96
3783.00;87.98
3782.00;87.99
3781.00;87.97
3780.00;87.95
3779.00;87.94
3778.00;87.95
3777.00;87.96
3776.00;87.96
3775.00;87.95
3774.00;87.95
3773.00;87.97
3772.00;87.99
3771.00;88.02
3770.00;88.06
3769.00;88.09
3768.00;88.10
3767.00;88.07
3766.00;88.01
3765.00;87.97
3764.00;87.98
3763.00;88.00
3762.00;88.01
3761.00;88.01
3760.00;88.01
3759.00;88.03
3758.00;88.06
3757.00;88.09
3756.00;88.13
3755.00;88.16
3754.00;88.16
3753.00;88.15
3752.00;88.12
3751.00;88.10
3750.00;88.11
3749.00;88.17
3748.00;88.23
3747.00;88.27
3746.00;88.26
3745.00;88.21
3744.00;88.20
3743.00;88.26
3742.00;88.29
3741.00;88.25
3740.00;88.21
3739.00;88.21
3738.00;88.22
3737.00;88.23
3736.00;88.24
3735.00;88.25
3734.00;88.25
3733.00;88.20
3732.00;88.14
3731.00;88.09
3730.00;88.07
3729.00;88.05
3728.00;88.04
3727.00;88.03
3726.00;88.04
3725.00;88.05
3724.00;88.07
3723.00;88.08
3722.00;88.08
3721.00;88.08
3720.00;88.07
3719.00;88.05
3718.00;88.03
3717.00;88.04
3716.00;88.07
3715.00;88.11
3714.00;88.14
3713.00;88.14
3712.00;88.13
3711.00;88.12
3710.00;88.12
3709.00;88.12
3708.00;88.13
3707.00;88.14
